date,unique_id,Shanghai Containerized Freight Index (SCFI),대두 [미국(생산자 가격)] 현물,대두유 crude and refined average price [파라나구아(FOB)] 현물,보일러용 후판 Q245R 30mm Xinyu Steel [중국] 현물,HOUSECOST_KOR
2023-01-31,A,5066.86,1290,1375.56,5872.105263,111.3906133
2023-02-28,A,4915.136667,1480,1517.7,5986.875,111.3906133
2023-03-31,A,4586.605,1540,1799.61,6002.173913,111.3906133
2023-04-30,A,4242.86,1580,1830.64,5820,110.9470599
2023-05-31,A,4162.4025,1610,1867.35,5792,110.9470599
2023-06-30,A,4219.8525,1640,1607.99,5699.52381,110.9470599
2023-07-31,A,4061.292,1550,1299.83,5204.761905,107.8855787
2023-08-31,A,3471.62,1530,1375.93,5003.913043,107.8855787
2023-09-30,A,2343.476,1410,1255.15,4870.5,107.8855787
2023-10-31,A,1763.446667,1350,1308.76,4743.75,108.1591883
2023-11-30,A,1389.81,1350,1350.87,4626.363636,108.1591883
2023-12-31,A,1134.9575,1350,1350.87,4657.777778,108.1591883
